epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.291634,0.372914,1.280689,0.374155,0.00029894
2,1.255021,0.386388,1.207084,0.439994,0.00029576
3,1.109861,0.495778,0.975731,0.570220,0.00029052
4,0.821317,0.668588,0.677054,0.756521,0.00028330
5,0.588571,0.797493,0.519708,0.831823,0.00027422
6,0.470037,0.854422,0.429249,0.874631,0.00026341
7,0.409301,0.887489,0.387332,0.899314,0.00025105
8,0.378144,0.905976,0.361924,0.914485,0.00023734
9,0.357153,0.915968,0.343981,0.920192,0.00022248
10,0.340854,0.923411,0.328838,0.928654,0.00020672
11,0.327139,0.928724,0.316674,0.930907,0.00019030
12,0.315825,0.932401,0.306472,0.934762,0.00017348
13,0.306223,0.935511,0.298320,0.938367,0.00015652
14,0.298317,0.937364,0.290889,0.938517,0.00013970
15,0.291383,0.939105,0.284927,0.941121,0.00012328
16,0.285848,0.940479,0.279974,0.942072,0.00010752
17,0.281283,0.941347,0.276159,0.943374,0.00009266
18,0.277488,0.942371,0.272659,0.943674,0.00007895
19,0.274434,0.942921,0.270203,0.944325,0.00006659
20,0.271954,0.943244,0.267855,0.944275,0.00005578
21,0.269886,0.943400,0.266053,0.945727,0.00004670
22,0.268211,0.944184,0.264678,0.945176,0.00003948
23,0.266823,0.943962,0.263383,0.945777,0.00003424
24,0.265687,0.944412,0.262454,0.945577,0.00003106
25,0.264676,0.944457,0.261375,0.945977,0.00003000
